Date,xsin(theta/2),ysin(theta/2),zsin(theta/2)
2014-03-09 13:07:10.622,0.12073319,-0.22390316,-0.80799806
2014-03-09 13:07:10.646,0.120517,-0.22410297,-0.8082775
2014-03-09 13:07:10.667,0.12059467,-0.22405696,-0.80855167
2014-03-09 13:07:10.690,0.120634824,-0.22396503,-0.8088325
2014-03-09 13:07:10.701,0.12075846,-0.22388037,-0.8090437
2014-03-09 13:07:10.721,0.120934956,-0.22381712,-0.8091654
2014-03-09 13:07:10.740,0.12112173,-0.22374655,-0.80924654
2014-03-09 13:07:10.760,0.1209773,-0.22358827,-0.8091024
2014-03-09 13:07:10.781,0.12009711,-0.2232638,-0.8088255
2014-03-09 13:07:10.801,0.11889217,-0.22312173,-0.8084096
2014-03-09 13:07:10.822,0.11752955,-0.22337915,-0.80774194
2014-03-09 13:07:10.841,0.11656245,-0.22379716,-0.80694467
2014-03-09 13:07:10.866,0.11616706,-0.22397773,-0.80604196
2014-03-09 13:07:10.886,0.11589327,-0.22372173,-0.8053767
2014-03-09 13:07:10.905,0.115536466,-0.22327037,-0.8048169
2014-03-09 13:07:10.924,0.115255244,-0.2231407,-0.8042705
2014-03-09 13:07:10.962,0.115017906,-0.22333588,-0.8035769
2014-03-09 13:07:10.973,0.11468744,-0.22328374,-0.8033429
2014-03-09 13:07:10.986,0.11401007,-0.22278048,-0.803187
2014-03-09 13:07:11.001,0.11336348,-0.22226247,-0.80313015
2014-03-09 13:07:11.021,0.112785995,-0.22187577,-0.8032465
2014-03-09 13:07:11.049,0.11223931,-0.22137998,-0.8035501
2014-03-09 13:07:11.062,0.11210941,-0.2213242,-0.8039385
2014-03-09 13:07:11.084,0.11212522,-0.2214733,-0.804246
2014-03-09 13:07:11.101,0.11197203,-0.22135638,-0.8045911
2014-03-09 13:07:11.121,0.11159619,-0.2208394,-0.8050426
2014-03-09 13:07:11.140,0.111323304,-0.22053722,-0.8054142
2014-03-09 13:07:11.161,0.11132441,-0.22064961,-0.8056562
2014-03-09 13:07:11.181,0.111428626,-0.22077076,-0.8058583
2014-03-09 13:07:11.202,0.11126277,-0.22098422,-0.80615586
2014-03-09 13:07:11.222,0.11057979,-0.22102377,-0.8066879
2014-03-09 13:07:11.250,0.10971222,-0.22041528,-0.80727845
2014-03-09 13:07:11.269,0.109342895,-0.21979584,-0.8076679
2014-03-09 13:07:11.291,0.10906632,-0.21932591,-0.80801505
2014-03-09 13:07:11.317,0.1089584,-0.21924633,-0.8082605
2014-03-09 13:07:11.330,0.109068,-0.21943876,-0.8084363
2014-03-09 13:07:11.346,0.10918126,-0.21962154,-0.80858487
2014-03-09 13:07:11.360,0.10911717,-0.21935023,-0.8088379
2014-03-09 13:07:11.380,0.1088935,-0.21886319,-0.8091703
2014-03-09 13:07:11.405,0.10890099,-0.21873704,-0.80940145
2014-03-09 13:07:11.432,0.109079234,-0.21881215,-0.80972683
2014-03-09 13:07:11.442,0.109240726,-0.21875787,-0.8100868
2014-03-09 13:07:11.462,0.10909947,-0.21844146,-0.8103805
2014-03-09 13:07:11.483,0.10904001,-0.2182645,-0.8106468
2014-03-09 13:07:11.504,0.10918039,-0.21833971,-0.81083566
2014-03-09 13:07:11.525,0.10932662,-0.21843873,-0.8110297
2014-03-09 13:07:11.550,0.10939955,-0.2185793,-0.81118727
2014-03-09 13:07:11.561,0.10928935,-0.21853298,-0.81137997
2014-03-09 13:07:11.583,0.10884009,-0.21802728,-0.81170416
2014-03-09 13:07:11.609,0.10827779,-0.21740602,-0.8120624
2014-03-09 13:07:11.620,0.10747858,-0.2169287,-0.8124651
2014-03-09 13:07:11.640,0.106312886,-0.21663445,-0.8132685
2014-03-09 13:07:11.660,0.10535059,-0.21631539,-0.81429064
2014-03-09 13:07:11.680,0.105353765,-0.21572037,-0.81503344
2014-03-09 13:07:11.702,0.10579683,-0.2148476,-0.8157075
2014-03-09 13:07:11.720,0.10575925,-0.21380334,-0.81654334
2014-03-09 13:07:11.740,0.105185784,-0.21288936,-0.8174299
2014-03-09 13:07:11.760,0.10452865,-0.21276852,-0.81799906
2014-03-09 13:07:11.780,0.104048066,-0.21319078,-0.81829286
2014-03-09 13:07:11.800,0.10392553,-0.21343999,-0.81851685
2014-03-09 13:07:11.819,0.103811346,-0.213678,-0.81871545
2014-03-09 13:07:11.840,0.10365625,-0.2139928,-0.8189462
2014-03-09 13:07:11.860,0.103915974,-0.21371298,-0.8192162
2014-03-09 13:07:11.889,0.1042531,-0.21292073,-0.81943506
2014-03-09 13:07:11.906,0.104621276,-0.21239243,-0.8195346
2014-03-09 13:07:11.919,0.104886696,-0.21231578,-0.8196452
2014-03-09 13:07:11.941,0.10504616,-0.21262752,-0.81971127
2014-03-09 13:07:11.964,0.10505928,-0.21313371,-0.8196468
2014-03-09 13:07:11.982,0.10513527,-0.2133862,-0.8196717
2014-03-09 13:07:12.006,0.10497234,-0.21327968,-0.8198783
2014-03-09 13:07:12.026,0.104861796,-0.21319938,-0.82007694
2014-03-09 13:07:12.045,0.1048571,-0.21370755,-0.82015896
2014-03-09 13:07:12.065,0.105014905,-0.21472082,-0.82015157
2014-03-09 13:07:12.086,0.10542266,-0.2157452,-0.8202053
2014-03-09 13:07:12.111,0.10478563,-0.21697843,-0.8210989
2014-03-09 13:07:12.127,0.10150976,-0.21769705,-0.8228403
2014-03-09 13:07:12.145,0.09576545,-0.216471,-0.82435775
2014-03-09 13:07:12.161,0.09095509,-0.21651806,-0.8240142
2014-03-09 13:07:12.181,0.087463394,-0.21670668,-0.8222737
2014-03-09 13:07:12.201,0.07865667,-0.21987914,-0.8210898
2014-03-09 13:07:12.220,0.05629185,-0.23179333,-0.82245225
2014-03-09 13:07:12.249,0.034404807,-0.23934622,-0.8267065
2014-03-09 13:07:12.265,0.01813672,-0.23661907,-0.8317037
2014-03-09 13:07:12.283,-0.010553226,-0.21518683,-0.8414609
2014-03-09 13:07:12.303,-0.03576283,-0.18418722,-0.8511799
2014-03-09 13:07:12.324,-0.03814288,-0.16383027,-0.8560705
2014-03-09 13:07:12.353,-0.033932447,-0.15816198,-0.85724294
2014-03-09 13:07:12.366,-0.037487384,-0.16409221,-0.8579183
2014-03-09 13:07:12.395,-0.05080667,-0.1669702,-0.8605873
2014-03-09 13:07:12.403,-0.06420922,-0.16124979,-0.86441606
2014-03-09 13:07:12.421,-0.07537326,-0.15769693,-0.8669613
2014-03-09 13:07:12.446,-0.09996901,-0.1725941,-0.866522
2014-03-09 13:07:12.462,-0.13081509,-0.20124076,-0.86335987
2014-03-09 13:07:12.482,-0.18531263,-0.22984675,-0.8610366
2014-03-09 13:07:12.503,-0.24007115,-0.2551268,-0.86198014
2014-03-09 13:07:12.524,-0.29565293,-0.28308538,-0.86388856
2014-03-09 13:07:12.549,-0.41110298,-0.34604657,-0.8347426
2014-03-09 13:07:12.561,-0.36507067,-0.31982428,-0.8663376
2014-03-09 13:07:12.581,-0.28553262,-0.27927208,-0.8965332
2014-03-09 13:07:12.601,-0.25266263,-0.23238601,-0.912777
2014-03-09 13:07:12.622,-0.22560614,-0.17952421,-0.9285155
2014-03-09 13:07:12.646,-0.1844006,-0.15896945,-0.9354432
2014-03-09 13:07:12.663,-0.16326365,-0.11064131,-0.9440279
2014-03-09 13:07:12.683,-0.14781284,-0.06858311,-0.9497145
2014-03-09 13:07:12.705,-0.13810472,-0.10006717,-0.9451619
2014-03-09 13:07:12.727,-0.13712408,-0.09640255,-0.94453055
2014-03-09 13:07:12.782,-0.13123557,-0.07597281,-0.94668484
2014-03-09 13:07:12.804,-0.11101029,-0.06987783,-0.9474671
2014-03-09 13:07:12.807,-0.073927835,-0.086588606,-0.9453245
2014-03-09 13:07:12.822,-0.029232077,-0.11816611,-0.9408177
2014-03-09 13:07:12.825,-0.012771223,-0.12896918,-0.9354681
2014-03-09 13:07:12.846,-0.04778509,-0.08293037,-0.9359353
2014-03-09 13:07:12.861,-0.0661508,-0.079628125,-0.9345467
2014-03-09 13:07:12.892,-0.057527877,-0.12079056,-0.9355204
2014-03-09 13:07:12.910,-0.08879648,-0.15586378,-0.9303249
2014-03-09 13:07:12.930,-0.12975127,-0.12837882,-0.9334051
2014-03-09 13:07:12.951,-0.16135584,-0.087398574,-0.9383506
2014-03-09 13:07:12.971,-0.16551737,-0.10056013,-0.94066334
2014-03-09 13:07:13.001,-0.17502494,-0.09096072,-0.9443202
2014-03-09 13:07:13.021,-0.18488032,-0.07530802,-0.946902
2014-03-09 13:07:13.042,-0.19192931,-0.063175045,-0.94825685
2014-03-09 13:07:13.061,-0.18508238,-0.06714316,-0.95020247
2014-03-09 13:07:13.082,-0.17381015,-0.07004674,-0.952635
2014-03-09 13:07:13.115,-0.1715767,-0.07089344,-0.9537749
2014-03-09 13:07:13.180,-0.17645995,-0.064190656,-0.9548303
2014-03-09 13:07:13.185,-0.1830806,-0.05895744,-0.9558886
2014-03-09 13:07:13.191,-0.18767884,-0.06132815,-0.95730174
2014-03-09 13:07:13.196,-0.19376887,-0.07288054,-0.9579808
2014-03-09 13:07:13.286,-0.19695805,-0.09084631,-0.9577956
2014-03-09 13:07:13.300,-0.20043032,-0.102251075,-0.9575189
2014-03-09 13:07:13.306,-0.19221796,-0.12245944,-0.95746195
2014-03-09 13:07:13.310,-0.17144893,-0.14085166,-0.95946145
2014-03-09 13:07:13.315,-0.12700404,-0.15120517,-0.9650702
2014-03-09 13:07:13.323,-0.13074431,-0.16970666,-0.96046937
2014-03-09 13:07:13.327,-0.18700539,-0.20687905,-0.9473402
2014-03-09 13:07:13.348,-0.23288025,-0.11530616,-0.9586166
2014-03-09 13:07:13.367,-0.25879008,-0.10315153,-0.95653987
2014-03-09 13:07:13.382,-0.27178317,-0.2761479,-0.9196339
2014-03-09 13:07:13.404,0.44861034,0.512217,0.72654337
2014-03-09 13:07:13.423,0.620182,0.46511656,0.5979193
2014-03-09 13:07:13.443,0.6500885,0.38519523,0.6030521
2014-03-09 13:07:13.462,0.7546046,0.37206438,0.48721674
2014-03-09 13:07:13.483,0.8390449,0.3476365,0.35218316
2014-03-09 13:07:13.504,0.880641,0.31645834,0.2792847
2014-03-09 13:07:13.521,0.88746655,0.28204656,0.27778274
2014-03-09 13:07:13.551,0.81254464,0.3733142,0.35955837
2014-03-09 13:07:13.572,0.7217579,0.45816675,0.4484468
2014-03-09 13:07:13.593,0.6727678,0.5128439,0.4948005
2014-03-09 13:07:13.613,0.62732744,0.52466077,0.56808114
2014-03-09 13:07:13.641,-0.6472749,-0.491801,-0.58091146
2014-03-09 13:07:13.663,-0.60361487,-0.43591082,-0.66572535
2014-03-09 13:07:13.683,-0.4982972,-0.5981396,-0.6270735
2014-03-09 13:07:13.704,-0.425983,-0.70670176,-0.5610859
2014-03-09 13:07:13.723,-0.39835528,-0.7488517,-0.5173039
2014-03-09 13:07:13.743,-0.3865962,-0.7728539,-0.482443
2014-03-09 13:07:13.763,-0.53918284,-0.61860406,-0.5258105
2014-03-09 13:07:13.783,-0.46351793,-0.65358496,-0.5675528
2014-03-09 13:07:13.806,-0.5759972,-0.5748279,-0.48278567
