Date,x(m/s^2),y(m/s^2),z(m/s^2)
2014-03-09 15:36:09.747,8.222281,-0.83706987,5.2786174
2014-03-09 15:36:09.766,8.010328,-0.7518992,5.6071105
2014-03-09 15:36:09.786,7.9775243,-0.6548951,5.6657386
2014-03-09 15:36:09.805,8.021647,-0.6255816,5.606442
2014-03-09 15:36:09.826,8.045783,-0.72101945,5.560207
2014-03-09 15:36:09.845,8.011362,-0.81680214,5.596543
2014-03-09 15:36:09.865,7.949904,-0.9482024,5.6630683
2014-03-09 15:36:09.885,7.8590364,-1.1015601,5.7612896
2014-03-09 15:36:09.905,7.7678914,-1.2177262,5.8606644
2014-03-09 15:36:09.927,7.6818466,-1.3250229,5.9501195
2014-03-09 15:36:09.948,7.586675,-1.4400524,6.04475
2014-03-09 15:36:09.971,7.48938,-1.4811612,6.155141
2014-03-09 15:36:09.988,7.411007,-1.4790877,6.249773
2014-03-09 15:36:10.008,7.34529,-1.4170067,6.3410726
2014-03-09 15:36:10.039,7.284148,-1.2888304,6.4382067
2014-03-09 15:36:10.051,7.2523828,-1.2067604,6.4897647
2014-03-09 15:36:10.069,7.174155,-1.0798367,6.5981708
2014-03-09 15:36:10.089,7.083116,-0.9635078,6.7135344
2014-03-09 15:36:10.116,7.0021143,-0.87365186,6.8101044
2014-03-09 15:36:10.133,6.9714127,-0.85806966,6.843501
2014-03-09 15:36:10.149,6.9631352,-0.85735947,6.852011
2014-03-09 15:36:10.169,6.9530864,-0.88823277,6.858281
2014-03-09 15:36:10.186,6.935816,-0.9288956,6.870372
2014-03-09 15:36:10.208,6.926408,-1.0272707,6.865855
2014-03-09 15:36:10.229,6.9411135,-1.1298338,6.834824
2014-03-09 15:36:10.249,6.991573,-1.2349045,6.7648573
2014-03-09 15:36:10.266,7.0694585,-1.3234715,6.6664524
2014-03-09 15:36:10.292,7.0939097,-1.3541856,6.6342297
2014-03-09 15:36:10.309,7.0948834,-1.4082994,6.621912
2014-03-09 15:36:10.324,7.075844,-1.4934427,6.6236267
2014-03-09 15:36:10.345,7.0461273,-1.6090877,6.6282225
2014-03-09 15:36:10.369,7.0419154,-1.7355715,6.6007266
2014-03-09 15:36:10.386,7.044339,-1.8162624,6.576385
2014-03-09 15:36:10.404,7.0380483,-1.898106,6.559989
2014-03-09 15:36:10.424,7.009575,-2.0034966,6.559134
2014-03-09 15:36:10.446,6.971614,-2.1354873,6.557946
2014-03-09 15:36:10.465,6.9549346,-2.2569258,6.534949
2014-03-09 15:36:10.484,6.9709578,-2.3578744,6.4820194
2014-03-09 15:36:10.504,7.020168,-2.4290202,6.4021497
2014-03-09 15:36:10.527,7.088594,-2.4503925,6.318053
2014-03-09 15:36:10.547,7.1622767,-2.4136457,6.248719
2014-03-09 15:36:10.566,7.242619,-2.3374002,6.1847725
2014-03-09 15:36:10.586,7.329082,-2.2515917,6.1143517
2014-03-09 15:36:10.608,7.420275,-2.2173803,6.0160737
2014-03-09 15:36:10.629,7.502577,-2.1851323,5.925108
2014-03-09 15:36:10.646,7.546213,-2.162086,5.8779626
2014-03-09 15:36:10.672,7.583081,-2.103138,5.851844
2014-03-09 15:36:10.685,7.615269,-2.0650613,5.8235354
2014-03-09 15:36:10.706,7.6614895,-2.047676,5.7687945
2014-03-09 15:36:10.729,7.7101135,-2.0393376,5.706633
2014-03-09 15:36:10.746,7.6713157,-2.0402272,5.758366
2014-03-09 15:36:10.766,7.6293225,-2.0406096,5.813754
2014-03-09 15:36:10.788,7.57471,-2.052153,5.8807163
2014-03-09 15:36:10.805,7.518892,-2.079391,5.9424543
2014-03-09 15:36:10.825,7.4492335,-2.1240027,6.0139775
2014-03-09 15:36:10.844,7.36478,-2.1682856,6.1015525
2014-03-09 15:36:10.865,7.2684116,-2.2224355,6.1968827
2014-03-09 15:36:10.884,7.1633453,-2.285632,6.295454
2014-03-09 15:36:10.905,7.0898433,-2.3725505,6.3462987
2014-03-09 15:36:10.926,7.0244083,-2.4530165,6.3883314
2014-03-09 15:36:10.945,6.965879,-2.5385854,6.4189177
2014-03-09 15:36:10.965,6.907272,-2.617496,6.4504805
2014-03-09 15:36:10.989,6.862867,-2.650517,6.484303
2014-03-09 15:36:11.009,6.8230295,-2.666863,6.519547
2014-03-09 15:36:11.027,6.7869763,-2.6673985,6.556855
2014-03-09 15:36:11.047,6.771722,-2.6354635,6.585479
2014-03-09 15:36:11.068,6.756116,-2.5187607,6.6468873
2014-03-09 15:36:11.088,6.746872,-2.3830938,6.706039
2014-03-09 15:36:11.106,6.764415,-2.2783864,6.724734
2014-03-09 15:36:11.132,6.870421,-2.290305,6.6122775
2014-03-09 15:36:11.148,6.9935427,-2.3035855,6.4772086
2014-03-09 15:36:11.168,7.1125464,-2.3202057,6.340247
2014-03-09 15:36:11.186,7.207195,-2.3066497,6.2374754
2014-03-09 15:36:11.208,7.281953,-2.2509484,6.1706386
2014-03-09 15:36:11.246,7.370774,-2.1847172,6.0884376
2014-03-09 15:36:11.255,7.469587,-2.1734257,5.9709187
2014-03-09 15:36:11.266,7.5423503,-2.1432467,5.889809
2014-03-09 15:36:11.288,7.6239176,-2.1690865,5.774197
2014-03-09 15:36:11.308,7.715345,-2.208839,5.6360326
2014-03-09 15:36:11.324,7.809742,-2.2402632,5.4917684
2014-03-09 15:36:11.344,7.9022193,-2.2608912,5.349173
2014-03-09 15:36:11.372,7.990412,-2.2469463,5.222539
2014-03-09 15:36:11.386,8.058782,-2.2505505,5.114825
2014-03-09 15:36:11.405,8.129756,-2.245056,5.003715
2014-03-09 15:36:11.428,8.2119255,-2.2409546,4.869576
2014-03-09 15:36:11.446,8.280853,-2.2391722,4.752259
2014-03-09 15:36:11.466,8.3479,-2.2176936,4.6437907
2014-03-09 15:36:11.485,8.403391,-2.185625,4.558117
2014-03-09 15:36:11.505,8.459508,-2.1448505,4.4728894
2014-03-09 15:36:11.525,8.532733,-2.1492844,4.3293715
2014-03-09 15:36:11.544,8.606044,-2.1893175,4.1609225
2014-03-09 15:36:11.564,8.662317,-2.2487311,4.009721
2014-03-09 15:36:11.584,8.680795,-2.3088448,3.934898
2014-03-09 15:36:11.605,8.638285,-2.402567,3.972167
2014-03-09 15:36:11.626,8.582809,-2.5034378,4.0297146
2014-03-09 15:36:11.645,8.517299,-2.5756152,4.1221623
2014-03-09 15:36:11.666,8.433326,-2.5328345,4.3167295
2014-03-09 15:36:11.686,8.340794,-2.5745723,4.4691324
2014-03-09 15:36:11.706,8.25452,-2.637181,4.5911393
2014-03-09 15:36:11.726,8.175881,-2.6660178,4.713566
2014-03-09 15:36:11.750,8.078269,-2.559534,4.935661
2014-03-09 15:36:11.771,7.9428434,-2.470612,5.1940074
2014-03-09 15:36:11.802,7.7748427,-2.3891387,5.4785237
2014-03-09 15:36:11.820,7.605995,-2.3236797,5.7375727
2014-03-09 15:36:11.839,7.4745736,-2.3080478,5.9138875
2014-03-09 15:36:11.854,7.334856,-2.320211,6.081685
2014-03-09 15:36:11.868,7.2493696,-2.3054438,6.1888576
2014-03-09 15:36:11.885,7.170865,-2.269175,6.2928467
2014-03-09 15:36:11.905,7.0969787,-2.2307005,6.38962
2014-03-09 15:36:11.925,7.041915,-2.205591,6.4588847
2014-03-09 15:36:11.944,7.0100217,-2.1607478,6.508545
2014-03-09 15:36:11.965,6.9899917,-2.0997596,6.5499167
2014-03-09 15:36:11.985,6.9885464,-2.0435154,6.56922
2014-03-09 15:36:12.005,6.9911613,-1.9822551,6.585189
2014-03-09 15:36:12.025,6.995008,-1.8983394,6.605798
2014-03-09 15:36:12.044,6.9981704,-1.7912774,6.6322927
2014-03-09 15:36:12.064,7.0168366,-1.6760125,6.642694
2014-03-09 15:36:12.086,7.057575,-1.5172567,6.637691
2014-03-09 15:36:12.106,7.111184,-1.2956202,6.6274285
2014-03-09 15:36:12.126,7.2273192,-1.114427,6.534087
2014-03-09 15:36:12.145,7.345732,-1.0363389,6.413783
2014-03-09 15:36:12.165,7.4696155,-1.0180951,6.2720575
2014-03-09 15:36:12.187,7.593235,-1.0619018,6.1143703
2014-03-09 15:36:12.207,7.699027,-1.1402152,5.96618
2014-03-09 15:36:12.228,7.7631564,-1.2057968,5.869398
2014-03-09 15:36:12.248,7.813838,-1.302176,5.7808905
2014-03-09 15:36:12.266,7.8601737,-1.4244848,5.6884875
2014-03-09 15:36:12.289,7.898823,-1.5310829,5.6066732
