Date,accelX-gX(m/s^2),accelY-gY(m/s^2),accelZ-gZ(m/s^2)
2014-03-09 15:36:10.286,6.3206925,-2.2984335,5.7843914
2014-03-09 15:36:10.288,6.5122285,-2.1452048,6.5505357
2014-03-09 15:36:10.305,6.742072,-2.183512,6.933608
2014-03-09 15:36:10.318,6.742072,-2.183512,6.895301
2014-03-09 15:36:10.333,6.703765,-2.4133554,6.6271505
2014-03-09 15:36:10.353,6.588843,-2.566584,6.129156
2014-03-09 15:36:10.367,6.5505357,-2.4516625,5.8226986
2014-03-09 15:36:10.384,6.703765,-2.4899697,6.0142345
2014-03-09 15:36:10.394,6.8569937,-2.6048915,6.2823853
2014-03-09 15:36:10.417,6.9719152,-2.719813,6.5505357
2014-03-09 15:36:10.433,7.1634517,-2.834735,6.742072
2014-03-09 15:36:10.444,7.201759,-2.9113493,6.703765
2014-03-09 15:36:10.464,7.3166804,-2.9113493,6.3206925
2014-03-09 15:36:10.473,7.393295,-2.9496565,5.8226986
2014-03-09 15:36:10.493,7.431602,-3.1028855,5.4779334
2014-03-09 15:36:10.517,7.469909,-3.1028855,5.5162406
2014-03-09 15:36:10.525,7.5848308,-2.873042,5.4779334
2014-03-09 15:36:10.545,7.776367,-2.4516625,5.554548
2014-03-09 15:36:10.554,8.00621,-2.1068976,5.4779334
2014-03-09 15:36:10.574,7.8529816,-1.9153614,5.056554
2014-03-09 15:36:10.594,7.5848308,-1.9536686,4.6351743
2014-03-09 15:36:10.606,7.393295,-2.1452048,4.55856
2014-03-09 15:36:10.627,7.201759,-2.1452048,4.865018
2014-03-09 15:36:10.634,7.201759,-2.1452048,5.401319
2014-03-09 15:36:10.670,7.1251445,-1.8004397,5.4779334
2014-03-09 15:36:10.671,7.086837,-1.532289,5.3247046
2014-03-09 15:36:10.684,6.9719152,-1.5705963,5.171476
2014-03-09 15:36:10.705,6.7803793,-1.8387469,5.0182467
2014-03-09 15:36:10.713,6.5122285,-2.1068976,5.094861
2014-03-09 15:36:10.733,6.435614,-2.183512,5.439626
2014-03-09 15:36:10.744,6.3589997,-2.1452048,5.93762
2014-03-09 15:36:10.764,6.3589997,-2.0685902,6.205771
2014-03-09 15:36:10.785,6.397307,-2.030283,6.435614
2014-03-09 15:36:10.793,6.435614,-2.1452048,6.5122285
2014-03-09 15:36:10.813,6.397307,-2.2601264,6.5505357
2014-03-09 15:36:10.823,6.3589997,-2.528277,6.7803793
2014-03-09 15:36:10.843,6.397307,-2.7581203,7.1251445
2014-03-09 15:36:10.853,6.435614,-2.9496565,7.469909
2014-03-09 15:36:10.874,6.5505357,-3.064578,7.8912888
2014-03-09 15:36:10.893,6.742072,-3.217807,7.967903
2014-03-09 15:36:10.903,6.8186865,-3.371036,7.73806
2014-03-09 15:36:10.930,6.742072,-3.4859576,7.5848308
2014-03-09 15:36:10.934,6.6654577,-3.6008794,7.5848308
2014-03-09 15:36:10.954,6.7803793,-3.7541082,7.776367
2014-03-09 15:36:10.975,7.0102224,-3.6774938,7.967903
2014-03-09 15:36:10.986,7.2783732,-3.4476504,7.8529816
2014-03-09 15:36:11.006,7.5465236,-3.2944214,7.431602
2014-03-09 15:36:11.017,7.699753,-3.064578,7.0102224
2014-03-09 15:36:11.035,7.6614456,-2.7581203,6.7803793
2014-03-09 15:36:11.056,7.5465236,-2.528277,6.8186865
2014-03-09 15:36:11.065,7.469909,-2.2601264,6.7803793
2014-03-09 15:36:11.085,7.5465236,-2.183512,6.397307
2014-03-09 15:36:11.095,7.6614456,-2.183512,5.861006
2014-03-09 15:36:11.115,7.73806,-2.2601264,5.2863975
2014-03-09 15:36:11.127,7.73806,-2.3750482,4.8267107
2014-03-09 15:36:11.145,7.6231384,-2.2984335,4.596867
2014-03-09 15:36:11.165,7.699753,-2.336741,4.4819455
2014-03-09 15:36:11.175,7.73806,-2.2984335,4.673482
2014-03-09 15:36:11.194,7.776367,-2.1452048,4.865018
2014-03-09 15:36:11.205,7.699753,-2.1452048,4.7884035
2014-03-09 15:36:11.238,7.699753,-2.1452048,4.55856
2014-03-09 15:36:11.241,7.8146744,-2.0685902,4.4436383
2014-03-09 15:36:11.261,7.8529816,-2.1452048,4.405331
2014-03-09 15:36:11.275,7.8146744,-2.3750482,4.2521024
2014-03-09 15:36:11.285,7.8146744,-2.4516625,4.0222588
2014-03-09 15:36:11.305,7.8912888,-2.566584,3.6774938
2014-03-09 15:36:11.319,7.967903,-2.6048915,3.6008794
2014-03-09 15:36:11.333,8.00621,-2.6048915,3.5625722
2014-03-09 15:36:11.353,7.929596,-2.566584,3.5242648
2014-03-09 15:36:11.368,7.929596,-2.3750482,3.5625722
2014-03-09 15:36:11.384,8.0445175,-2.2218192,3.86903
2014-03-09 15:36:11.394,8.121132,-2.183512,4.213795
2014-03-09 15:36:11.414,8.159439,-2.336741,4.3287168
2014-03-09 15:36:11.427,8.197746,-2.336741,4.2904096
2014-03-09 15:36:11.444,8.236053,-2.3750482,4.213795
2014-03-09 15:36:11.464,8.274361,-2.183512,4.2904096
2014-03-09 15:36:11.474,8.274361,-1.9919758,4.405331
2014-03-09 15:36:11.494,8.197746,-1.8387469,4.2904096
2014-03-09 15:36:11.517,8.274361,-1.8387469,4.060566
2014-03-09 15:36:11.524,8.389283,-2.1452048,3.9073372
2014-03-09 15:36:11.537,8.504205,-2.528277,3.9073372
2014-03-09 15:36:11.553,8.6574335,-2.834735,4.098873
2014-03-09 15:36:11.574,8.619126,-2.9113493,4.596867
2014-03-09 15:36:11.593,8.542512,-3.064578,5.133168
2014-03-09 15:36:11.604,8.236053,-3.1411927,5.401319
2014-03-09 15:36:11.619,7.929596,-3.1794999,5.5162406
2014-03-09 15:36:11.634,7.5465236,-3.1794999,5.631162
2014-03-09 15:36:11.654,7.086837,-2.9113493,5.861006
2014-03-09 15:36:11.665,7.0102224,-2.9496565,6.205771
2014-03-09 15:36:11.684,7.201759,-3.3327289,6.6271505
