Date,x(uT),y(uT),z(uT)
2014-03-09 15:34:23.237,-9.719999,1.9799999,-45.0
2014-03-09 15:34:23.257,-10.08,-0.84,-44.879997
2014-03-09 15:34:23.277,-10.74,-3.78,-44.28
2014-03-09 15:34:23.297,-11.34,-6.2999997,-43.559998
2014-03-09 15:34:23.318,-12.0,-8.639999,-42.66
2014-03-09 15:34:23.338,-13.0199995,-10.74,-41.64
2014-03-09 15:34:23.358,-14.16,-12.78,-40.2
2014-03-09 15:34:23.379,-15.0,-15.12,-38.76
2014-03-09 15:34:23.399,-15.96,-16.859999,-37.38
2014-03-09 15:34:23.416,-16.619999,-17.88,-36.239998
2014-03-09 15:34:23.436,-17.279999,-18.779999,-35.579998
2014-03-09 15:34:23.456,-17.94,-19.68,-34.8
2014-03-09 15:34:23.476,-18.359999,-20.52,-34.079998
2014-03-09 15:34:23.496,-18.3,-21.779999,-33.239998
2014-03-09 15:34:23.516,-18.18,-22.98,-32.7
2014-03-09 15:34:23.536,-17.82,-24.24,-31.679998
2014-03-09 15:34:23.557,-17.46,-26.039999,-30.179998
2014-03-09 15:34:23.576,-17.52,-27.72,-28.199999
2014-03-09 15:34:23.597,-17.4,-29.46,-26.039999
2014-03-09 15:34:23.617,-16.92,-31.32,-23.939999
2014-03-09 15:34:23.637,-16.02,-33.42,-21.9
2014-03-09 15:34:23.657,-14.099999,-35.28,-20.1
2014-03-09 15:34:23.677,-11.219999,-36.66,-18.3
2014-03-09 15:34:23.697,-8.16,-37.68,-17.22
2014-03-09 15:34:23.717,-5.3399997,-38.34,-16.68
2014-03-09 15:34:23.737,-3.12,-38.94,-16.74
2014-03-09 15:34:23.758,-1.74,-39.239998,-17.039999
2014-03-09 15:34:23.778,-1.1999999,-39.3,-17.88
2014-03-09 15:34:23.802,-1.9799999,-38.1,-19.199999
2014-03-09 15:34:23.820,-5.2799997,-35.579998,-20.16
2014-03-09 15:34:23.848,-10.74,-32.28,-20.34
2014-03-09 15:34:23.868,-16.5,-28.92,-20.64
2014-03-09 15:34:23.887,-21.66,-25.5,-21.48
2014-03-09 15:34:23.914,-25.56,-22.14,-22.26
2014-03-09 15:34:23.929,-28.74,-19.02,-23.16
2014-03-09 15:34:23.943,-31.32,-15.96,-23.58
2014-03-09 15:34:23.970,-33.42,-13.86,-23.46
2014-03-09 15:34:23.987,-33.96,-12.719999,-23.46
2014-03-09 15:34:24.009,-33.48,-12.719999,-24.42
2014-03-09 15:34:24.029,-33.36,-12.599999,-25.019999
2014-03-09 15:34:24.047,-33.66,-12.42,-25.14
2014-03-09 15:34:24.066,-33.78,-12.179999,-25.32
2014-03-09 15:34:24.092,-33.96,-11.94,-24.96
2014-03-09 15:34:24.111,-34.14,-11.82,-24.66
2014-03-09 15:34:24.129,-34.26,-11.58,-24.539999
2014-03-09 15:34:24.153,-34.38,-11.4,-24.72
2014-03-09 15:34:24.172,-34.44,-11.099999,-24.779999
2014-03-09 15:34:24.190,-34.32,-10.92,-25.019999
2014-03-09 15:34:24.202,-34.079998,-10.8,-25.14
2014-03-09 15:34:24.223,-34.2,-11.04,-25.019999
2014-03-09 15:34:24.243,-34.2,-11.04,-25.32
2014-03-09 15:34:24.263,-34.38,-10.92,-25.26
2014-03-09 15:34:24.283,-34.44,-10.74,-25.32
2014-03-09 15:34:24.303,-34.62,-10.62,-25.019999
2014-03-09 15:34:24.326,-34.92,-10.5,-24.84
2014-03-09 15:34:24.346,-35.16,-10.26,-24.6
2014-03-09 15:34:24.365,-35.28,-9.9,-24.18
2014-03-09 15:34:24.385,-35.64,-9.54,-24.0
2014-03-09 15:34:24.405,-36.0,-9.599999,-23.58
2014-03-09 15:34:24.424,-36.3,-9.599999,-23.22
2014-03-09 15:34:24.445,-36.54,-9.78,-22.74
2014-03-09 15:34:24.465,-36.78,-9.78,-22.199999
2014-03-09 15:34:24.491,-36.84,-9.599999,-22.02
2014-03-09 15:34:24.506,-37.26,-9.66,-21.72
2014-03-09 15:34:24.531,-37.559998,-9.66,-21.539999
2014-03-09 15:34:24.549,-37.559998,-9.54,-21.3
2014-03-09 15:34:24.569,-37.62,-8.94,-21.359999
2014-03-09 15:34:24.586,-37.559998,-8.7,-21.18
2014-03-09 15:34:24.606,-37.8,-8.46,-21.24
2014-03-09 15:34:24.628,-37.98,-8.34,-21.48
2014-03-09 15:34:24.650,-37.92,-8.099999,-21.3
2014-03-09 15:34:24.667,-37.8,-7.62,-21.06
2014-03-09 15:34:24.691,-37.98,-7.5,-20.82
2014-03-09 15:34:24.710,-38.28,-7.2599998,-20.58
2014-03-09 15:34:24.731,-38.46,-7.14,-20.039999
2014-03-09 15:34:24.747,-38.76,-6.8999996,-19.74
2014-03-09 15:34:24.770,-38.879997,-6.6,-19.38
2014-03-09 15:34:24.784,-39.0,-6.2999997,-19.02
2014-03-09 15:34:24.804,-39.18,-6.3599997,-18.84
2014-03-09 15:34:24.825,-39.12,-6.54,-18.66
2014-03-09 15:34:24.845,-39.0,-6.24,-18.66
2014-03-09 15:34:24.865,-38.94,-6.18,-18.84
2014-03-09 15:34:24.885,-39.0,-6.12,-18.84
2014-03-09 15:34:24.905,-39.059998,-6.18,-18.9
