Date,AngularSpeedX,AngularSpeedY,AngularSpeedZ
2014-03-09 13:05:36.108,-0.07086037,-0.032986723,0.047647487
2014-03-09 13:05:36.148,-0.064751714,-0.034208454,0.02443461
2014-03-09 13:05:36.152,-0.062308256,-0.06963864,0.012217305
2014-03-09 13:05:36.167,-0.11362094,-0.056199603,0.02443461
2014-03-09 13:05:36.191,-0.10873401,0.036651913,0.09285152
2014-03-09 13:05:36.207,0.0061086523,0.043982297,0.096516706
2014-03-09 13:05:36.227,0.0012217305,0.030543262,0.061086524
2014-03-09 13:05:36.247,-0.073303826,0.02687807,0.017104227
2014-03-09 13:05:36.267,-0.118507855,-0.028099801,0.019547688
2014-03-09 13:05:36.291,-0.10262536,-0.04153884,0.02687807
2014-03-09 13:05:36.307,-0.0061086523,-0.03176499,0.03176499
2014-03-09 13:05:36.327,0.03176499,0.014660766,0.03176499
2014-03-09 13:05:36.348,0.036651913,0.007330383,0.02076942
2014-03-09 13:05:36.404,-0.057421334,0.0012217305,0.0036651916
2014-03-09 13:05:36.420,-0.111177474,-0.03176499,0.013439035
2014-03-09 13:05:36.433,-0.0720821,-0.0061086523,0.02443461
2014-03-09 13:05:36.443,0.030543262,0.0012217305,0.0012217305
2014-03-09 13:05:36.448,0.02076942,-0.009773844,-0.0036651916
2014-03-09 13:05:36.471,-0.014660766,-0.015882496,-0.013439035
2014-03-09 13:05:36.488,-0.05131268,0.0012217305,0.0
2014-03-09 13:05:36.507,-0.030543262,-0.0012217305,0.008552114
2014-03-09 13:05:36.528,0.0061086523,-0.065973446,-0.0036651916
2014-03-09 13:05:36.548,0.030543262,-0.0720821,-0.036651913
2014-03-09 13:05:36.571,0.036651913,-0.02565634,-0.010995574
2014-03-09 13:05:36.589,-0.002443461,-0.007330383,-0.0036651916
2014-03-09 13:05:36.608,-0.029321533,-0.036651913,-0.010995574
2014-03-09 13:05:36.631,-0.042760566,-0.073303826,-0.057421334
2014-03-09 13:05:36.647,-0.002443461,-0.032986723,-0.08552113
2014-03-09 13:05:36.673,0.064751714,-0.007330383,-0.08552113
2014-03-09 13:05:36.688,0.02443461,0.062308256,-0.089186326
2014-03-09 13:05:36.707,-0.0842994,0.16371189,-0.09285152
2014-03-09 13:05:36.728,-0.16249016,0.3652974,-0.15760323
2014-03-09 13:05:36.748,-0.30665436,0.79534656,-0.35185838
